Airline ID,Flight Number,Departure Date/Time,Arrival Date/Time,Departure Time,Arrival Time,Booking Code,Passenger Name,Seat Number,Class,Fare,Extras,Loyalty Points,Status,Gate,Terminal,Baggage Claim,Duration (Hours),Layovers,Layover Locations,Aircraft Type,Pilot,Cabin Crew,Inflight Entertainment,Meal Option,WiFi Availability,Window Seat,Aisle Seat,Emergency Exit Row,Number of Stops,Reward Program Member,flag_status
5,3526,2023-07-12 21:09:55,2023-10-25 09:43:26,20:20:27,03:12:24,Byau,Name_Manii,Seataom,First,512.05,No Extras,0,Cancelled,Gateuz,A,Claimzqn,4.17,2,Locxay,Typeppk,Pilot_Ifgc,Crew_Ztnm,No,No Meal,Not Available,False,False,True,0,No,4
14,8807,2023-05-24 07:36:24,2023-04-27 18:57:53,13:28:20,03:05:02,Bgjc,Name_Duyzb,Seataor,Economy,904.61,Meal,2303,Pending,Gateyd,B,Claimbgd,10.88,1,Locfqe,Typevkk,Pilot_Cmcg,Crew_Iacu,Yes,Vegan,Not Available,True,False,False,0,Yes,2
18,1366,2023-12-01 07:26:06,2023-01-09 05:22:54,21:14:39,18:11:31,Brcg,Name_Petrb,Seatvfv,Business,868.56,Meal,0,Confirmed,Gateqi,B,Claimkeb,4.32,1,Locfgu,Typeyhi,Pilot_Muac,Crew_Qycq,Yes,Vegetarian,Available,False,True,False,1,Yes,2
16,7521,2023-06-26 14:16:59,2023-06-05 17:19:03,22:04:22,06:21:09,Boax,Name_Noyjp,Seatfof,Economy,672.46,Meal,0,Pending,Gateto,A,Claimqcc,4.38,2,Locxpo,Typevck,Pilot_Jvcd,Crew_Fscs,No,No Meal,Not Available,True,True,False,1,Yes,7
6,7606,2023-09-11 04:16:01,2023-10-11 22:28:46,16:44:33,08:12:21,Bsez,Name_Hzzxx,Seatxvy,First,668.34,No Extras,0,Pending,Gategi,A,Claimyse,8.38,0,Locitg,Typehvz,Pilot_Glyb,Crew_Xknc,No,Non-Vegetarian,Available,True,False,True,0,No,4
14,1012,2023-01-24 13:26:15,2023-09-21 23:08:58,12:43:37,05:02:30,Buvg,Name_Untjm,Seatnun,First,622.34,Extra Baggage,681,Pending,Gatemi,D,Claimgov,2.85,2,Loclwb,Typetfn,Pilot_Zebd,Crew_Dmdf,No,Vegetarian,Available,True,False,False,0,No,4
8,9727,2023-07-04 14:07:52,2023-05-19 11:40:00,16:59:31,02:55:56,Bkav,Name_Sbzen,Seattqk,First,267.69,Extra Baggage,0,Pending,Gateel,A,Claimlmn,7.64,1,Locifm,Typeoos,Pilot_Ovsg,Crew_Oygq,No,Vegan,Available,False,False,True,1,Yes,2
7,4239,2023-01-29 17:55:16,2023-09-08 03:01:46,03:21:53,07:55:52,Bbnj,Name_Xuwuz,Seatrkt,Economy,634.86,Meal,0,Confirmed,Gatezi,B,Claimczk,7.91,0,Loccrq,Typegmy,Pilot_Fffc,Crew_Rlxj,Yes,No Meal,Not Available,True,False,False,1,Yes,4
8,3317,2023-01-04 22:52:54,2023-04-06 21:24:11,08:22:14,14:33:16,Bcne,Name_Yxhae,Seatith,Economy,620.32,Extra Baggage,870,Pending,Gateok,A,Claimmts,9.03,1,Locycf,Typecaq,Pilot_Eyym,Crew_Gntc,No,Non-Vegetarian,Not Available,False,False,True,0,No,0
13,5042,2023-09-25 07:27:17,2023-07-10 12:19:42,00:54:26,22:54:23,Bqga,Name_Ykhqy,Seatrqy,Business,590.39,No Extras,0,Cancelled,Gatepe,B,Claimndn,9.29,2,Locizq,Typelsj,Pilot_Yzej,Crew_Gksl,No,Vegan,Available,True,True,True,2,No,7
6,8485,2023-07-19 22:13:04,2023-05-19 14:20:10,01:46:48,03:11:03,Bxkf,Name_Jnaeo,Seatzlv,Economy,814.97,Meal,163,Confirmed,Gatecx,D,Claimirb,9.54,1,Locvkg,Typeyyd,Pilot_Hxqn,Crew_Lvmr,No,Vegan,Available,True,True,False,2,Yes,3
18,1375,2023-12-14 18:07:26,2023-07-30 15:29:17,04:07:22,12:23:43,Bpnq,Name_Joaxk,Seatzes,Economy,93.18,No Extras,3523,Cancelled,Gateam,D,Claimjit,10.82,0,Lockzx,Typegdb,Pilot_Anom,Crew_Gges,Yes,Vegan,Not Available,True,True,True,1,Yes,7
2,1256,2023-10-26 00:45:19,2023-10-24 12:32:50,03:05:36,08:29:20,Bong,Name_Rfbbq,Seatoyr,First,484.26,Meal,0,Pending,Gategi,C,Claimmau,1.08,1,Locnoj,Typewpy,Pilot_Phsh,Crew_Oxhc,Yes,Vegan,Not Available,True,True,False,1,No,3
8,1449,2023-07-11 01:05:11,2023-10-08 23:25:46,00:58:17,04:00:10,Bjsg,Name_Vetnl,Seatzxd,First,100.9,Meal,154,Cancelled,Gateab,A,Claimhpx,8.54,2,Locnqh,Typeqph,Pilot_Gelj,Crew_Kpgg,No,Vegan,Not Available,True,False,False,2,Yes,4
11,4212,2023-02-28 06:07:36,2023-08-01 13:57:42,17:03:35,16:08:39,Boxz,Name_Dirjg,Seatnnm,Economy,806.0,Meal,0,Cancelled,Gateeg,B,Claimuqv,7.6,2,Locopw,Typeluh,Pilot_Hflu,Crew_Rblb,Yes,No Meal,Not Available,True,True,True,1,Yes,5
1,7175,2023-01-18 04:42:17,2023-10-30 02:08:55,05:55:40,04:32:31,Bnos,Name_Eozmn,Seatwhm,First,271.37,No Extras,0,Cancelled,Gatetx,D,Claimyce,1.41,1,Locdit,Typehuo,Pilot_Vbfq,Crew_Mujq,Yes,Vegetarian,Not Available,False,False,True,1,Yes,0
6,6943,2023-02-17 23:14:18,2023-12-24 03:55:48,09:39:02,09:33:08,Buzp,Name_Ydfom,Seatazq,Economy,397.31,Extra Baggage,4066,Cancelled,Gatedj,B,Claimndd,6.16,2,Locsou,Typerxy,Pilot_Nchv,Crew_Gauy,Yes,Non-Vegetarian,Available,False,False,False,2,No,4
16,9026,2023-04-04 04:46:56,2023-08-20 20:23:57,20:46:21,04:09:28,Bbba,Name_Mrqad,Seatiiz,Economy,361.56,No Extras,0,Pending,Gatehu,A,Claimsas,11.6,1,Locjlq,Typeyhu,Pilot_Mpum,Crew_Yvbs,Yes,No Meal,Available,True,True,True,2,No,1
12,8446,2023-12-26 12:37:02,2023-11-17 12:49:37,18:54:30,20:37:39,Bpsd,Name_Kysmp,Seatquk,Economy,940.22,No Extras,0,Confirmed,Gatenx,B,Claimexu,6.08,2,Locanz,Typeadi,Pilot_Mrav,Crew_Hnwr,Yes,Vegan,Available,False,False,True,2,No,6
11,2308,2023-04-27 06:02:19,2023-04-23 17:19:42,15:45:25,11:16:36,Bckx,Name_Solwh,Seatnpd,Economy,372.06,Extra Baggage,0,Confirmed,Gateed,C,Claimwja,5.29,0,Locnvo,Typewel,Pilot_Sbgh,Crew_Xnvl,No,Vegetarian,Not Available,True,True,False,2,No,7
10,9339,2023-07-01 14:28:53,2023-08-22 00:10:58,13:03:38,23:00:08,Bqew,Name_Vavhe,Seatnjm,Economy,99.17,Extra Baggage,0,Pending,Gateuy,B,Claimyrj,3.44,0,Loclmv,Typetci,Pilot_Jtix,Crew_Idgj,Yes,Non-Vegetarian,Not Available,True,False,True,1,Yes,4
3,5016,2023-04-18 21:56:57,2023-09-15 03:23:36,09:59:45,16:27:37,Biay,Name_Xaldo,Seatkdb,Economy,85.7,Extra Baggage,1568,Cancelled,Gateol,A,Claimjnk,10.92,2,Locdci,Typewxa,Pilot_Idmc,Crew_Sinv,Yes,Non-Vegetarian,Available,True,True,False,1,Yes,5
13,4940,2023-08-09 15:08:39,2023-12-30 20:07:58,23:24:15,13:45:44,Bidp,Name_Ijumj,Seatepb,First,255.52,Extra Baggage,1419,Pending,Gatexb,B,Claimsrm,1.38,1,Locffk,Typekgr,Pilot_Fszi,Crew_Qsfc,No,Non-Vegetarian,Not Available,True,True,False,1,Yes,1
3,7713,2023-07-01 03:21:08,2023-01-01 20:03:27,14:57:08,11:49:41,Boje,Name_Jnssy,Seatchy,Business,135.1,Extra Baggage,0,Confirmed,Gatewv,A,Claimtjy,8.82,2,Locraj,Typeqxs,Pilot_Npwm,Crew_Dinu,Yes,Vegan,Available,False,False,True,2,No,6
15,5071,2023-11-26 04:14:47,2023-01-31 14:35:24,16:45:41,10:03:45,Bpfp,Name_Avvzx,Seatywd,Business,804.19,Extra Baggage,0,Cancelled,Gatevi,B,Claimhbk,3.74,1,Loccyv,Typesae,Pilot_Vqap,Crew_Cnbu,Yes,No Meal,Not Available,False,False,False,0,No,2
16,9107,2023-06-12 21:16:54,2023-07-12 10:08:26,15:25:47,00:39:23,Bdvu,Name_Hqwja,Seatyqr,First,690.75,Extra Baggage,0,Pending,Gateiq,A,Claimkam,9.27,2,Locttn,Typejkc,Pilot_Nlsm,Crew_Zhdd,No,Non-Vegetarian,Available,True,True,False,2,Yes,5
13,6912,2023-07-01 13:02:30,2023-12-28 11:06:36,12:46:22,07:37:16,Bocs,Name_Hebsy,Seatzne,Business,786.92,Meal,0,Confirmed,Gatepr,D,Claimqrw,10.05,0,Locfia,Typegcn,Pilot_Ejsk,Crew_Gelr,No,No Meal,Available,True,False,True,0,Yes,4
17,1442,2023-06-26 11:57:42,2023-07-05 13:48:09,23:21:17,09:11:25,Biep,Name_Btwxk,Seatuex,Business,555.84,Meal,0,Pending,Gatesx,C,Claimlrl,7.43,1,Loctru,Typefjj,Pilot_Vwjo,Crew_Asmv,Yes,No Meal,Available,True,True,True,2,No,1
3,3944,2023-08-05 22:27:36,2023-02-24 19:20:06,22:08:32,06:22:01,Bchx,Name_Czzih,Seatjbz,Economy,499.88,Meal,0,Confirmed,Gateba,D,Claimmus,1.11,0,Loctwc,Typepkn,Pilot_Qvly,Crew_Fwul,Yes,Vegan,Available,True,True,False,1,No,7
11,4936,2023-02-21 14:03:01,2023-04-29 22:35:08,05:17:55,21:43:22,Bncp,Name_Fnhoz,Seatipu,First,393.88,No Extras,0,Pending,Gateux,A,Claimmcl,5.68,1,Locdsp,Typentx,Pilot_Dqmd,Crew_Vyij,Yes,No Meal,Available,False,False,False,2,No,0
19,1398,2023-11-28 07:17:46,2023-12-05 10:12:00,05:28:46,02:28:16,Bgic,Name_Xcwhv,Seatgyu,Business,822.8,No Extras,0,Pending,Gately,D,Claimcnp,4.28,0,Locdpo,Typeauj,Pilot_Tzdm,Crew_Vjzf,No,Vegan,Not Available,False,False,False,2,Yes,4
11,3995,2023-08-01 17:14:16,2023-01-12 04:13:38,00:25:55,03:49:45,Bhlq,Name_Pfgmt,Seatdyh,First,51.68,No Extras,0,Confirmed,Gateyb,D,Claimyvg,8.29,2,Locqug,Typefhd,Pilot_Glct,Crew_Kfqt,No,Vegetarian,Available,True,True,False,2,Yes,7
16,7329,2023-12-17 23:52:14,2023-05-08 14:34:32,04:37:39,16:13:05,Bnps,Name_Zzisg,Seatcdy,Economy,539.74,No Extras,0,Cancelled,Gatens,D,Claimksh,10.52,1,Locyeq,Typefcm,Pilot_Ygoj,Crew_Zycg,No,Non-Vegetarian,Available,True,False,True,0,No,2
3,3216,2023-10-10 09:15:17,2023-06-20 10:58:46,08:36:06,23:56:04,Bdcm,Name_Pyxgo,Seatqpw,Business,405.04,No Extras,4757,Pending,Gatecb,D,Claimonu,11.02,2,Lockwh,Typedcl,Pilot_Dykz,Crew_Kvwv,No,Vegan,Available,False,True,True,1,No,6
6,2707,2023-06-08 12:24:15,2023-10-20 13:02:54,07:12:03,14:56:45,Biml,Name_Ebbte,Seatozo,Business,196.39,Meal,0,Pending,Gatebk,D,Claimnzh,3.64,2,Locbjm,Typekyn,Pilot_Wkwh,Crew_Pvjw,No,Vegan,Not Available,True,True,False,1,No,5
14,6766,2023-07-05 21:56:54,2023-10-13 04:52:59,19:03:45,11:00:53,Bzuo,Name_Ldrtk,Seatszw,Business,726.21,Meal,4586,Pending,Gatezb,A,Claimzwu,5.84,1,Lockut,Typetxb,Pilot_Pfyd,Crew_Ohrp,No,Non-Vegetarian,Available,True,True,False,2,Yes,1
18,6677,2023-10-01 21:11:42,2023-04-28 06:40:44,22:17:59,12:04:29,Bccb,Name_Utfmz,Seatyjk,Economy,304.76,Extra Baggage,650,Cancelled,Gateql,A,Claimwvk,10.68,2,Locxis,Typeigg,Pilot_Zoln,Crew_Ltnt,No,Non-Vegetarian,Not Available,True,False,True,1,Yes,6
17,3568,2023-05-03 10:24:54,2023-03-31 18:55:24,20:18:34,08:51:43,Bzfy,Name_Weydj,Seatmla,First,446.81,Meal,4560,Pending,Gateyl,A,Claimhke,6.18,0,Locutx,Typejnz,Pilot_Nuhj,Crew_Qyob,No,No Meal,Not Available,True,True,False,2,No,7
4,8638,2023-09-29 05:21:05,2023-08-13 20:09:16,07:46:07,19:19:02,Bpwr,Name_Bzhtt,Seatdsv,Business,325.33,No Extras,0,Confirmed,Gatequ,D,Claimoqn,2.56,2,Locfgb,Typetlc,Pilot_Pwfy,Crew_Etpw,No,Non-Vegetarian,Not Available,True,False,False,0,No,6
15,1160,2023-05-07 09:43:24,2023-10-27 22:36:29,06:26:25,21:32:18,Bicw,Name_Citbq,Seatdem,Business,629.09,No Extras,492,Pending,Gateah,A,Claimzoi,6.25,0,Locdbf,Typevgu,Pilot_Dxsw,Crew_Isxc,Yes,No Meal,Available,True,True,False,1,Yes,5
11,9067,2023-07-23 04:14:51,2023-06-26 15:06:22,11:14:52,13:14:30,Bzwp,Name_Axqem,Seatusp,Business,60.31,No Extras,0,Confirmed,Gategg,D,Claimnyj,7.73,0,Locbqc,Typeyuh,Pilot_Dwmb,Crew_Mlvh,No,Vegan,Not Available,False,True,True,0,No,6
3,4904,2023-04-27 09:38:15,2023-05-22 00:22:54,11:57:07,14:14:39,Bdnd,Name_Hgwnh,Seatwvy,First,672.92,No Extras,0,Cancelled,Gateje,A,Claimopl,10.35,1,Locdva,Typeosj,Pilot_Vhyl,Crew_Qbuq,No,Non-Vegetarian,Available,False,False,False,2,Yes,0
3,4573,2023-12-14 01:53:47,2023-06-08 00:02:09,09:36:34,03:52:30,Brrr,Name_Kcere,Seatucu,Economy,442.49,Meal,0,Pending,Gatetn,D,Claimipv,3.38,2,Locrax,Typehti,Pilot_Pmhd,Crew_Ayfe,Yes,No Meal,Available,False,True,True,1,Yes,6
16,2825,2023-08-03 22:37:30,2023-11-01 02:31:33,04:55:54,08:16:03,Bucz,Name_Mebzm,Seatklj,Business,728.53,Meal,0,Cancelled,Gategs,D,Claimzfk,11.51,1,Locoud,Typeued,Pilot_Hfjq,Crew_Kwds,No,Vegetarian,Not Available,False,True,False,1,No,0
5,6582,2023-09-22 00:23:33,2023-08-10 22:17:44,12:21:47,14:25:01,Bgmg,Name_Fqhqs,Seatypu,Economy,846.96,Meal,0,Cancelled,Gatekn,D,Claimhoo,9.56,1,Locxof,Typeehh,Pilot_Cjmo,Crew_Elli,No,Vegan,Available,True,True,False,0,No,3
10,2176,2023-10-07 21:46:59,2023-10-17 16:27:58,19:40:58,15:59:47,Bvmx,Name_Oargg,Seatgka,Business,538.53,Extra Baggage,0,Cancelled,Gatezc,D,Claimojb,3.97,0,Locrse,Typeymr,Pilot_Uglq,Crew_Rhhi,No,Non-Vegetarian,Not Available,False,False,False,2,Yes,4
19,5918,2023-05-04 09:15:06,2023-07-21 08:46:11,05:58:32,06:49:44,Bdpy,Name_Pkeun,Seatnow,Business,875.75,Meal,0,Confirmed,Gatefl,A,Claimgwo,11.75,0,Locyan,Typemzj,Pilot_Usvt,Crew_Mvwg,No,No Meal,Available,True,False,False,0,Yes,4
4,5880,2023-04-22 23:54:20,2023-06-30 14:13:03,01:36:51,13:24:44,Bomj,Name_Wzjex,Seatdke,First,176.63,No Extras,0,Pending,Gateas,B,Claimalv,11.36,2,Locysw,Typeldp,Pilot_Yriu,Crew_Tsza,Yes,Vegan,Available,False,True,False,2,No,4
19,4220,2023-12-30 21:26:46,2023-07-31 22:48:25,09:34:19,05:33:58,Bjed,Name_Srzdw,Seathxe,First,82.78,Extra Baggage,0,Confirmed,Gatefx,D,Claimrfz,9.16,0,Locyqq,Typeogf,Pilot_Sjxf,Crew_Xsbc,No,Vegan,Available,False,True,True,2,No,6
11,8820,2023-09-01 20:30:39,2023-11-12 03:52:33,10:57:22,13:12:47,Bsoi,Name_Iskck,Seatbff,First,891.18,No Extras,0,Pending,Gatedu,B,Claimdyi,7.14,2,Locyoa,Typexuv,Pilot_Yctv,Crew_Vtgi,No,Vegan,Available,True,True,False,2,Yes,5
2,1130,2023-01-30 20:39:03,2023-12-22 23:57:54,07:25:26,16:40:37,Bpdy,Name_Gqwrz,Seatqen,Economy,161.93,No Extras,0,Pending,Gatenu,A,Claimxwn,11.13,2,Locklk,Typeilv,Pilot_Ehib,Crew_Knvo,No,Non-Vegetarian,Not Available,True,True,True,2,No,5
10,7659,2023-11-27 07:22:56,2023-06-29 07:42:46,17:59:17,11:44:43,Bkqu,Name_Oqzyq,Seatdon,Business,222.0,Meal,0,Pending,Gatewk,C,Claimoqx,5.87,2,Locmxs,Typegzl,Pilot_Mucb,Crew_Rttt,No,Vegan,Available,False,True,False,0,Yes,6
11,4562,2023-03-24 16:36:09,2023-11-18 06:24:51,21:12:52,10:36:47,Bail,Name_Xjowp,Seatlah,First,165.18,Extra Baggage,0,Cancelled,Gategf,B,Claimnab,5.68,0,Locaaw,Typemkv,Pilot_Ijag,Crew_Ctir,No,Non-Vegetarian,Available,False,True,False,0,No,4
16,2499,2023-11-23 10:31:24,2023-11-05 13:40:06,02:44:22,12:00:56,Bwlj,Name_Ozius,Seatxrz,Business,212.79,Extra Baggage,4264,Pending,Gatevs,B,Claimgzx,5.15,1,Loceqa,Typeudm,Pilot_Wmyh,Crew_Qvjo,No,No Meal,Available,True,True,True,1,No,3
19,8430,2023-09-20 23:51:40,2023-03-03 05:05:56,23:12:27,13:39:08,Biuz,Name_Abfxi,Seatkny,First,904.14,Meal,705,Confirmed,Gatesk,B,Claimqgf,10.07,1,Locshb,Typeocd,Pilot_Mpdh,Crew_Wkmh,Yes,Non-Vegetarian,Available,False,False,True,2,No,2
11,8705,2023-06-10 19:45:07,2023-07-09 12:38:53,09:45:07,14:18:42,Bytp,Name_Xrajd,Seatssd,Business,855.53,Extra Baggage,0,Confirmed,Gatevn,B,Claimdji,2.71,1,Locfay,Typepin,Pilot_Shxm,Crew_Qogc,No,Vegan,Not Available,False,True,True,1,No,0
14,8626,2023-08-27 03:00:35,2023-12-03 13:40:23,04:00:25,09:49:31,Bmcr,Name_Nuzft,Seatgro,Business,302.24,Meal,0,Pending,Gateux,C,Claimukg,1.74,2,Locbwi,Typeywb,Pilot_Acog,Crew_Lazw,No,Vegetarian,Not Available,False,False,True,1,No,4
2,7679,2023-08-01 23:42:33,2023-05-05 05:53:24,09:28:59,01:35:47,Bdsy,Name_Eoxjc,Seatjpo,Economy,719.4,Meal,0,Pending,Gateml,C,Claimzvi,4.38,1,Locpfj,Typedta,Pilot_Fjpl,Crew_Gpdp,Yes,No Meal,Available,True,True,True,0,Yes,3
5,3788,2023-08-25 18:34:39,2023-08-17 01:21:42,09:17:24,06:39:09,Bmml,Name_Qiior,Seatbid,Business,798.93,No Extras,2145,Confirmed,Gatemz,C,Claimqah,11.38,1,Locmjh,Typerfh,Pilot_Fxkl,Crew_Aqip,No,Non-Vegetarian,Available,False,False,True,1,Yes,2
5,5876,2023-03-01 02:34:00,2023-12-12 09:53:46,19:36:48,14:00:03,Bxab,Name_Chcsv,Seatgyw,Business,197.14,No Extras,0,Cancelled,Gateax,C,Claimzrs,6.04,0,Loctgz,Typeeni,Pilot_Rmot,Crew_Gbcw,No,Vegan,Not Available,False,True,False,2,Yes,4
19,4708,2023-04-13 12:58:36,2023-02-15 04:22:13,00:04:12,00:49:26,Bcvu,Name_Mvpgz,Seatuql,Business,266.76,No Extras,0,Confirmed,Gatelk,C,Claimdqp,4.38,0,Locqpg,Typerap,Pilot_Wsxd,Crew_Ducz,No,Vegetarian,Not Available,True,False,True,0,No,6
12,2769,2023-10-11 06:42:29,2023-07-31 05:07:24,02:50:08,12:14:48,Buvm,Name_Tezsb,Seatyhu,First,503.92,No Extras,0,Cancelled,Gatesz,C,Claimypy,1.59,0,Loceul,Typeijp,Pilot_Pbrl,Crew_Yrgz,No,No Meal,Not Available,False,False,False,2,Yes,6
18,7731,2023-06-30 02:13:07,2023-06-01 19:37:11,23:22:31,20:18:27,Blpn,Name_Ccbpq,Seatixd,Business,654.79,Meal,0,Confirmed,Gateep,C,Claimnya,8.3,2,Lockci,Typeogv,Pilot_Axle,Crew_Ocmi,No,Vegetarian,Not Available,False,False,True,1,Yes,6
4,4044,2023-11-25 16:39:11,2023-08-29 01:52:40,15:26:25,05:23:11,Bxnq,Name_Ppsqx,Seatbym,Economy,449.75,No Extras,0,Pending,Gateqc,B,Claimhfy,6.87,2,Locprg,Typetto,Pilot_Hzij,Crew_Lzln,Yes,Non-Vegetarian,Not Available,True,False,True,0,Yes,6
17,1375,2023-01-13 16:43:40,2023-06-05 21:04:47,22:58:00,15:49:25,Befj,Name_Elvlz,Seatygo,Economy,793.62,No Extras,0,Pending,Gatelb,D,Claimjny,9.71,0,Locxgv,Typesht,Pilot_Lqzw,Crew_Nnoj,Yes,Vegan,Available,False,False,False,1,No,4
10,7347,2023-07-16 08:32:16,2023-05-30 02:57:58,23:40:06,11:06:14,Bviz,Name_Ggdfp,Seathdz,First,990.79,No Extras,0,Pending,Gateqt,C,Claimvod,5.47,2,Locjgg,Typetdx,Pilot_Qsjc,Crew_Bnia,Yes,Vegetarian,Not Available,True,False,False,2,Yes,6
6,4036,2023-06-15 14:37:27,2023-04-23 05:31:11,10:51:09,05:43:01,Bgdw,Name_Hfwsy,Seatdkq,Business,871.56,Meal,0,Cancelled,Gatezl,A,Claimizk,9.17,0,Locyic,Typecvb,Pilot_Qhqf,Crew_Mndt,Yes,No Meal,Available,True,True,False,1,Yes,7
14,9852,2023-12-22 23:48:26,2023-03-15 21:54:21,15:36:58,12:34:32,Bgkf,Name_Jpbnk,Seatmij,Economy,858.99,Extra Baggage,0,Cancelled,Gatell,B,Claimras,2.99,1,Locuan,Typeazq,Pilot_Gtaf,Crew_Heqz,No,No Meal,Not Available,False,False,True,1,No,2
11,7218,2023-04-22 11:51:52,2023-04-22 05:44:32,06:26:58,01:07:05,Bppx,Name_Xxbyc,Seatiun,First,241.51,Meal,0,Pending,Gatexh,D,Claimppg,8.79,2,Locysb,Typeqed,Pilot_Ltxa,Crew_Wjmu,No,No Meal,Available,True,False,True,0,Yes,6
11,1740,2023-05-02 00:03:16,2023-12-25 12:07:54,09:12:40,10:17:05,Bxmz,Name_Zvkdn,Seatwch,First,909.23,Meal,0,Cancelled,Gatehh,B,Claimcpl,3.81,2,Locxyk,Typepxv,Pilot_Aede,Crew_Zqtj,No,Vegan,Available,True,False,True,0,Yes,4
18,9495,2023-01-03 10:45:40,2023-08-06 13:28:55,21:20:19,13:09:50,Blvb,Name_Eczhj,Seatylh,Economy,991.42,No Extras,1498,Pending,Gateef,A,Claimdjs,9.98,1,Locpbw,Typeqzb,Pilot_Dirp,Crew_Qtuo,No,Non-Vegetarian,Available,False,False,False,2,Yes,0
18,2085,2023-07-30 15:30:33,2023-11-20 20:41:22,12:21:42,19:18:09,Buma,Name_Lzhwg,Seatefs,Economy,587.51,Meal,0,Cancelled,Gatelx,A,Claimcgc,8.01,2,Locymj,Typerao,Pilot_Wkgd,Crew_Feow,No,Non-Vegetarian,Available,True,True,False,2,No,5
11,2210,2023-05-31 16:46:07,2023-05-09 00:31:44,06:56:46,05:11:18,Bjzj,Name_Bzlvt,Seatcnn,First,772.1,No Extras,0,Confirmed,Gatetn,C,Claimyit,5.94,0,Locnzf,Typeqby,Pilot_Nfsn,Crew_Cxlc,Yes,Vegan,Available,False,False,False,2,Yes,6
12,9420,2023-04-30 12:36:07,2023-10-29 18:31:49,11:05:16,01:45:17,Bkid,Name_Kiefg,Seatmgi,First,619.33,Extra Baggage,0,Cancelled,Gatemg,A,Claimaea,2.42,0,Locaaq,Typemsg,Pilot_Ssng,Crew_Qhgx,No,Vegan,Not Available,False,False,False,1,No,4
